#{"t_start": 1754990797.7947614, "env_id": "None"}
r,l,t
494.38025,60,24.684582
996.2222,60,24.783844
2139.6672,60,24.807405
664.34467,60,24.829448
1140.1876,60,24.910116
632.0801,60,24.938211
-179.96399,32,24.959266
-1566.2175,12,24.980319
1000.63196,60,24.985343
840.33606,60,25.001366
722.9125,60,25.014393
-928.6023,25,25.092733
426.05255,60,25.128346
1397.4751,60,25.15042
-1466.2974,9,25.201891
1085.7036,48,25.25658
853.93896,60,25.263087
944.3187,60,27.403662
1058.0939,60,27.40918
-1305.2726,9,27.4142
226.8877,59,27.434267
-1527.3959,15,27.486415
765.8847,60,27.512
-1433.5613,2,27.52251
-724.43945,26,27.537559
270.67593,60,27.548586
1087.2279,60,27.619133
-1834.4885,16,27.639187
667.2395,60,27.682841
550.9094,60,27.736557
1071.5508,60,27.771624
1466.8798,60,27.831301
574.089,60,27.872964
646.72876,60,27.889524
-579.6088,28,27.89654
-1079.5051,23,27.903044
-2482.4907,3,27.919548
556.4933,60,27.975709
4355.3804,60,27.991727
-649.32886,31,28.009816
1139.1698,60,28.032874
-644.0443,38,28.100624
-748.0202,31,28.135257
597.72894,60,28.18946
560.2826,60,28.205525
2646.504,60,28.236143
635.8024,60,28.307832
976.5909,60,28.323884
1126.616,60,28.346458
-451.79922,34,28.397604
1033.7051,60,28.426211
869.6734,60,28.462807
1011.4822,60,28.523592
-44.488953,60,28.568702
-355.71497,55,28.611284
1896.0408,60,28.657452
-3103.0022,11,28.675528
1351.8997,60,28.681528
731.41284,60,28.735192
883.9809,60,28.764272
751.96686,60,28.803394
414.32608,60,28.856554
-593.96063,35,28.8746
871.78406,60,28.903736
-4410.083,9,28.925215
-2147.2788,6,28.956285
-894.50806,15,28.984444
1232.2808,60,28.990447
460.96487,60,29.007528
846.2055,60,29.059184
886.00305,60,29.086266
1180.2489,60,29.123354
-105.92609,34,29.170473
566.6534,60,29.186541
-1239.019,5,29.198558
1639.9053,60,29.282786
1442.508,60,29.316434
3005.2563,60,29.33403
1811.3579,60,29.391196
-930.0673,17,29.409293
682.9751,60,29.416335
-446.50726,26,29.427373
-422.17117,21,29.448443
715.71716,60,29.45443
-2325.7744,9,29.460465
-3887.7263,14,29.494573
719.96326,60,29.515124
1160.144,60,29.526157
-679.1871,16,29.537195
-2485.0088,5,29.544217
-256.8949,23,29.55525
-1278.1626,18,29.625065
1009.9506,60,29.721858
1168.8234,60,29.797632
2020.6735,60,29.803647
466.4923,48,29.825238
1592.5459,60,29.844304
442.50653,60,29.88853
-1162.8883,9,29.895551
481.89127,60,29.905587
-662.2943,24,29.941173
519.7192,60,29.978302
-168.64368,42,30.06462
617.53253,60,30.076644
-311.92065,59,30.142807
-682.1481,46,30.169376
-4455.8027,8,30.18746
1292.6733,60,30.295355
-1326.5597,11,30.295355
720.5048,60,30.301354
1508.8389,60,30.351569
642.06885,60,30.387673
-1471.794,17,30.393688
-1602.7151,29,30.460376
516.8315,60,30.471411
608.329,60,30.483486
-105.31006,34,30.545177
851.8714,60,30.591294
-1899.7018,11,30.611856
-412.0228,42,30.629398
908.1383,60,30.647948
-1614.4316,7,30.693095
1598.3545,60,30.744259
-577.7069,49,30.761301
-2577.852,6,30.779356
-1407.7888,32,30.801421
2130.6887,60,30.813469
-1282.4117,12,30.829508
2655.2449,60,30.839527
-310.17453,47,30.871585
-636.37964,19,30.920725
-1653.9396,2,30.930763
-366.34338,49,30.970837
-1260.3071,19,30.977867
918.4705,60,30.978867
-2602.261,9,31.023492
-1049.0222,41,31.062605
611.4559,60,31.116797
-664.8115,27,31.127825
1104.8037,60,31.137838
762.12396,60,31.172914
-1263.7618,2,31.183474
1054.3855,60,31.266284
-372.366,38,31.272789
1132.0829,60,31.317452
-876.9339,32,31.323478
2093.5842,60,31.365623
-427.7791,23,31.414792
1747.3839,60,31.468459
554.3962,60,31.481494
1549.5995,60,31.5427
-1063.7552,12,31.556246
-1577.5227,20,31.592848
-1729.2295,9,31.599372
1482.9343,60,31.637523
-673.2521,14,31.643542
1537.3945,60,31.68666
755.4901,60,31.693167
-785.68463,10,31.699691
858.2259,60,31.738329
-1268.7018,10,31.755385
578.9196,60,31.785885
-842.4676,12,31.824495
-492.65515,33,31.876619
-767.70374,32,31.884648
-1280.0731,1,31.884648
1305.9623,60,31.94731
364.0747,60,31.952817
-1921.2291,6,31.981414
539.129,60,31.993481
-1242.5183,31,31.999496
-1386.5376,10,32.011099
-1980.5259,7,32.034164
1264.8445,60,32.080283
-1912.1572,19,32.092833
-1865.1173,3,32.109888
1047.005,60,32.126451
-757.802,22,32.136483
-1665.662,4,32.154537
-780.7627,9,32.174573
2136.1062,60,32.224768
1305.5817,60,32.224768
-806.1836,26,32.224768
-740.2811,10,32.282847
-693.2728,19,32.334512
728.73047,60,32.340515
340.12152,60,32.373574
-103.32916,48,32.448285
859.73975,60,32.448285
1567.7897,60,32.501424
563.9398,60,32.568596
-832.1145,2,32.579612
1088.7292,60,32.620199
-755.9397,55,32.648305
-625.33185,16,32.666346
1909.4774,60,32.671343
1391.9042,60,32.712546
51.91748,43,32.739106
1795.6855,60,32.786249
1050.8584,60,32.786249
-1038.4412,4,32.806303
-451.09128,36,32.821848
-302.2746,46,32.952759
-1009.7132,1,32.959273
638.846,60,33.041524
1140.6173,60,33.047549
-1477.7268,2,33.052549
1773.7203,60,33.088804
1099.8376,60,33.113453
-527.5054,17,33.140549
452.33664,60,33.155594
846.0789,60,33.182621
-1226.772,7,33.182621
1946.0175,60,33.196661
835.2211,60,33.287435
-786.4778,31,33.346156
759.8461,60,33.377745
2623.9524,60,33.411638
1238.6547,60,33.440239
-1287.8905,7,33.476322
1371.4048,60,33.482904
1152.7681,60,33.501446
887.25665,60,33.518505
-1782.2479,5,33.530527
-3116.9846,8,33.575642
2003.7142,60,33.606712
-896.8907,8,33.617264
-279.60602,47,33.665438
2370.0103,60,33.669437
-313.59607,30,33.679475
-1573.0719,3,33.679475
768.11743,60,33.701549
-749.99744,42,33.71108
-798.96954,10,33.727127
1988.7057,60,33.802811
216.18103,44,33.924222
1251.6238,60,33.93826
954.30566,60,33.949283
75.93568,60,34.015485
-770.4291,12,34.015485
1236.7626,60,34.04153
399.2494,60,34.045552
380.2185,60,34.059561
-886.3299,8,34.088628
609.4922,60,34.136225
-334.081,29,34.24354
666.61206,60,34.257567
575.06195,60,34.269586
53.770325,53,34.307695
613.841,60,34.342869
1281.3654,60,34.367364
-1574.2661,6,34.379394
-794.0723,25,34.385442
1013.7693,60,34.390445
-549.4791,38,34.465208
654.80383,60,34.465208
838.009,60,34.591204
889.4726,60,34.629382
-239.00366,49,34.641421
-1601.2448,9,34.693133
998.1649,60,34.693133
758.21027,60,34.708674
591.02893,60,34.715221
763.45984,54,34.76036
-1359.6371,9,34.766382
-852.7633,5,34.787446
868.12726,60,34.793464
596.7055,60,34.923862
693.73566,60,34.962578
-539.0624,33,34.975622
1065.5774,60,35.023715
1123.833,60,35.023715
804.2308,60,35.037253
-2641.5693,8,35.06282
683.9384,60,35.090414
765.7774,60,35.11199
